"Постоянный идентификатор";"Название организации";Разделы;Подразделы;Рубрики;"Населенные пункты";Адреса;"Почтовые индексы";E-mail;Телефоны;Факсы;Сайты
211914;"Бим.ру, информационно-развлекательный портал";"Интернет / Связь / Информационные технологии";Интернет;"Городские информационные сайты";Казань;;0;;;;http://bimru.ru,http://vk.com/bimradio,http://twitter.com/@bimruru
83892;"Бизнес, служба автохостеса";"Транспорт / Грузоперевозки";"Грузоперевозки / Транспортные услуги";"Заказ пассажирского легкового транспорта";Казань;;0;2945444@mail.ru;"+7 (843) 250-60-61,+7 (843) 2-146-047";;
230980;"Бизнес Татарстана, информационный портал";"Интернет / Связь / Информационные технологии";Интернет;"Городские информационные сайты";Казань;;0;;;;http://realtat.ru
270538;"БЕСКО, ООО, юридическая фирма";"Юридические / финансовые / бизнес-услуги";"Юридические услуги";"Ведение дел в судах";Казань;;0;besko-kazan@yandex.ru;"+7 (843) 267-23-32,+7-904-672-33-32";;
1214261752;"Белые росы, жилой комплекс, ООО Финдом";"Строительство / Недвижимость / Ремонт";Новостройки;Новостройки;Чернышевка;"Чернышевка, Мира, 1 стр";0;;"7-927-039-07-25 (отдел продаж),7-927-249-12-22 (отдел продаж)";;http://rosadom.ru
454637;"БЕЛЛА Волга, ООО, торговая компания";"Медицина / Здоровье / Красота";"Красота / Здоровье";"Косметика / Парфюмерия";Макаровка;"Федеральная трасса М7 806 км, 4 - 3 этаж";0;office-kazan@bella-tzmo.ru;"7 (843) 567-17-35,7 (843) 567-17-36";"+7 (843) 567-17-37";http://www.tzmo-global.com
86701;"Белиссимо, клининговая компания";"Коммунальные / бытовые / ритуальные услуги";"Уборка / Обработка помещений";"Профессиональная уборка";Казань;;0;belissimokazan@mail.ru;"+7-905-313-60-58,+7 (843) 253-19-03";;http://c-krauze.ru,http://vk.com/club57546386
353317;"Без Хлама, доска бесплатных объявлений";"Интернет / Связь / Информационные технологии";Интернет;"Сайты объявлений";Казань;;0;;;;http://www.bezhlama.ru
428993;"Бассейны Термаль, ООО, торгово-строительная компания";"Строительство / Недвижимость / Ремонт";"Сантехническое оборудование";"Гидромассажное оборудование";Казань;;0;termalkzn@gmail.com,info@bassejn.info;"+7 (843) 2-46-46-47,+7 (843) 2-148-508,+7 (843) 524-76-47,+7 (843) 524-76-48";;http://bassejn.info,http://vk.com/bassejninfo
1100074133;"БаррусГрупп, производственно-торговая компания";"Электроника / Электротехника";Электротехника;Светотехника;Казань;;0;info@brgp.ru;"8-800-555-86-78 (единая справочная),+7 (843) 225-08-25";;http://brgp.ru
204215;"Барахла.нет, доска бесплатных объявлений";"Интернет / Связь / Информационные технологии";Интернет;"Сайты объявлений";Казань;;0;support@barahla.net;;;http://kaz.barahla.net
1216119551;"Баракат, компания по химчистке диванов и ковров";"Коммунальные / бытовые / ритуальные услуги";"Уборка / Обработка помещений";"Профессиональная уборка";Казань;;0;2903070@gmail.com;"+7 (843) 203-45-27";;http://kazan.cf,http://vk.com/id347610138,http://instagram.com/cleaning_barakat
1100103899;"Банкомат, Рост банк, АО";"Юридические / финансовые / бизнес-услуги";"Банковские / финансовые услуги";Банкоматы;Казань;"Федеральная трасса М7 843 км, 1 - АЗС";0;;;;
6206;"Банки Казани, информационный портал";"Интернет / Связь / Информационные технологии";Интернет;"Городские информационные сайты";Казань;;0;;;;http://www.fin16.ru
402831;"Бамбуковый Дом, интернет-магазин текстиля из бамбука";"Текстиль / Предметы интерьера";Текстиль;"Постельные принадлежности / Текстиль для дома";Казань;;0;zakaz@begikupi.ru;"+7-903-307-08-73,+7 (843) 2-588-566";;http://www.begikupi.ru
